번호,단어,품사,뜻,예문,해석,빈도수
1,process,N,(특정 결과를 달성하기 위한) 과정[절차],a consultation process,협의 과정,119
,,V,(원자재식품 등을) 가공[처리]하다,Most of the food we buy is processed in some way.,우리가 사는 식품은 대부분이 어떤 식으로든 가공이 된 것이다.,
2,product,N,"생산물, 상품, 제품","dairy/meat/pharmaceutical, etc. products",유제품/육류 제품/의약품 등,99
3,provide,V,"제공[공급]하다, 주다",The hospital has a commitment to provide the best possible medical care.,저희 병원에서는 가능한 한 최고의 의료 서비스를 제공하는 데 전념하고 있습니다.,87
4,likely,adj,"…할 공산이 있는, …할 것 같은[것으로 예상되는]",the most likely outcome,가장 공산이 큰 결과,86
5,material,N,"직물, 천",a piece of material,직물 한 조각,80
,,adj,(돈재산 등의) 물질[물리]적인,material comforts,물질적인 위안,
6,individual,adj,각각[개개]의,We interviewed each individual member of the community.,우리는 그 지역 사회 구성원 개개인을 면담했다.,78
,,N,개인,The competition is open to both teams and individuals.,그 대회에는 팀별로도 참가할 수 있고 개인별로도 참가할 수 있다.,
7,behavior,N,"행동, 거동, 행실, 품행, 태도",harsh behavior towards one's inferiors,아랫사람에게 엄한 태도,75
8,true,adj,"(만들어 내거나 추측한 것이 아니고) 사실인, 참인, 맞는; (…에 대해) 적용되는[해당하는]",Indicate whether the following statements are true or false.,다음 내용이 참인지 거짓인지[맞는지 틀리는지] 표시하시오.,71
,,adv,"일직선으로, 똑바로",The arrow flew straight and true to the target.,화살이 일직선으로 똑바로 날아가서 목표물에 맞았다.,
9,cultural,adj,"(한 사회의) 문화와 관련된, 문화의",cultural differences between the two communities,그 두 공동체 간의 문화적 차이,71
10,term,N,"용어, 말","a technical/legal/scientific, etc. term",전문[특수]/법률/과학 용어 등,71
,,V,(특정한 이름·용어로) 칭하다[일컫다],"[VN-n] At his age, he can hardly be termed a young man.",그가 그 나이에 젊은이라고 불리기는 힘들다.,
11,knowledge,N,지식,practical / medical / scientific knowledge,실질적인/의학적/과학적 지식,69
12,research,N,"연구, (연구) 조사","medical/historical/scientific, etc. research",의학적/역사적/과학적 연구 등,67
,,V,연구[조사]하다,[V] They’re researching into ways of improving people’s diet.,그들은 사람들의 식습관을 개선시키는 방법을 연구 중이다.,
13,require,V,"필요[요구]하다, 필요로 하다",[VN] These pets require a lot of care and attention.,이들 애완동물은 많은 보살핌과 관심을 필요로 한다.,66
14,self,N,"(어떤 사람의 평상시) 모습, 본모습",You’ll soon be feeling your old self again.,당신은 곧 다시 예전의 자기 본모습을 느낄 수 있을 거예요.,65
15,specie,N,"정금(正金), 정화(正貨)(opp. paper money)",a specie bank,정금 은행,62
16,performance,N,공연; 연주회,The performance starts at seven.,공연[연주회]은 7시에 시작한다.,60
17,account,N,계좌,I don’t have a bank account.,나는 은행 계좌가 없다.,59
,,V,"간주하다, 여기다",[VN-adj] In English law a person is accounted innocent until they are proved guilty.,영국법에서는 유죄가 입증될 때까지는 무죄로 간주한다.,
18,available,adj,구할[이용할] 수 있는,available resources / facilities,이용할 수 있는 자원/편의 시설,58
19,development,N,"발달, 성장",a baby’s development in the womb,자궁 내 태아의 성장,57
20,consumer,N,소비자,consumer demand/choice/rights,소비자의 수요/선택/권리,57
21,potential,adj,"(…이 될) 가능성이 있는, 잠재적인",potential customers,잠재 고객들,57
,,N,가능성,the potential for change,변화 가능성,
22,opportunity,N,기회,You’ll have the opportunity to ask any questions at the end.,끝 부분에 어떤 질문이든 할 수 있는 기회가 있을 겁니다.,57
23,customer,N,"손님, 고객",one of the shop’s best/biggest customers,상점의 최고 고객 중 한 사람,56
24,decision,N,"결정, 판단",to make a decision,결정[판단]을 내리다[하다],56
25,relate,V,관련[결부]시키다,I found it difficult to relate the two ideas in my mind.,나는 마음속으로 그 두 가지 생각을 관련짓기가 힘들었다.,55
26,tour,N,(여러 도시국가 등을 방문하는) 여행,"a walking/sightseeing, etc. tour",도보/관광[유람] 여행 등,55
